Cidade,Sim,Não,Total,Doenças
JACUI,3,126,129,renal
JACUTINGA,3,88,91,renal
JAGUARACU,-,5,5,renal
JAIBA,1,7,8,renal
JAMPRUCA,-,6,6,renal
JANAUBA,-,32,32,renal
JANUARIA,1,111,112,renal
JAPARAIBA,-,5,5,renal
JAPONVAR,-,1,1,renal
JENIPAPO DE MINAS,-,9,9,renal
JEQUERI,1,31,32,renal
JEQUITAI,1,3,4,renal
JEQUITINHONHA,-,2,2,renal
JESUANIA,-,1,1,renal
JOAIMA,-,21,21,renal
JOANESIA,2,8,10,renal
JOAO MONLEVADE,2,85,87,renal
JOAO PINHEIRO,9,46,55,renal
JORDANIA,-,1,1,renal
JOSE GONCALVES DE MINAS,-,6,6,renal
JOSE RAYDAN,-,11,11,renal
NOVA UNIAO,-,20,20,renal
JUATUBA,-,21,21,renal
JUIZ DE FORA,20,701,721,renal
JURUAIA,1,16,17,renal
JUVENILIA,-,2,2,renal
LAGAMAR,2,33,35,renal
LAGOA DA PRATA,6,55,61,renal
LAGOA DOURADA,-,1,1,renal
LAGOA FORMOSA,8,34,42,renal
LAGOA GRANDE,-,5,5,renal
LAGOA SANTA,4,17,21,renal
LAMBARI,12,116,128,renal
LARANJAL,-,7,7,renal
LASSANCE,2,2,4,renal
LAVRAS,4,72,76,renal
LEANDRO FERREIRA,-,13,13,renal
LEOPOLDINA,3,33,36,renal
LIMA DUARTE,-,31,31,renal
LIMEIRA DO OESTE,1,4,5,renal
LONTRA,-,1,1,renal
LUISBURGO,2,13,15,renal
LUZ,4,37,41,renal
MACHADO,2,189,191,renal
MADRE DE DEUS DE MINAS,3,12,15,renal
MANGA,-,13,13,renal
MANHUACU,2,42,44,renal
MANHUMIRIM,2,51,53,renal
MANTENA,3,45,48,renal
MARAVILHAS,-,8,8,renal
MAR DE ESPANHA,1,18,19,renal
MARIA DA FE,1,91,92,renal
MARIANA,4,80,84,renal
MARIPA DE MINAS,-,1,1,renal
MARLIERIA,3,11,14,renal
MARMELOPOLIS,1,35,36,renal
MARTINHO CAMPOS,4,49,53,renal
MATERLANDIA,-,5,5,renal
MATEUS LEME,3,123,126,renal
MATIAS BARBOSA,2,33,35,renal
MATIAS CARDOSO,-,8,8,renal
MATO VERDE,-,5,5,renal
MATOZINHOS,-,7,7,renal
MATUTINA,3,-,3,renal
MEDEIROS,-,2,2,renal
MEDINA,-,9,9,renal
MENDES PIMENTEL,-,5,5,renal
MERCES,2,20,22,renal
MESQUITA,-,4,4,renal
MINAS NOVAS,-,15,15,renal
MINDURI,-,15,15,renal
MIRABELA,-,9,9,renal
MIRADOURO,2,4,6,renal
MIRAI,-,25,25,renal
MIRAVANIA,-,1,1,renal
MOEDA,1,37,38,renal
MOEMA,-,9,9,renal
MONJOLOS,1,5,6,renal
MONTE ALEGRE DE MINAS,1,34,35,renal
MONTE AZUL,-,34,34,renal
MONTE BELO,-,37,37,renal
MONTE CARMELO,16,157,173,renal
MONTE SANTO DE MINAS,7,89,96,renal
MONTES CLAROS,19,475,494,renal
MONTE SIAO,11,113,124,renal
MONTEZUMA,-,1,1,renal
MORADA NOVA DE MINAS,1,44,45,renal
MORRO DO PILAR,-,1,1,renal
MUNHOZ,3,23,26,renal
MURIAE,2,89,91,renal
MUTUM,2,3,5,renal
MUZAMBINHO,4,25,29,renal
NACIP RAYDAN,-,11,11,renal
NANUQUE,6,27,33,renal
NAQUE,1,28,29,renal
NATERCIA,-,13,13,renal
NAZARENO,-,24,24,renal
NEPOMUCENO,6,64,70,renal
NINHEIRA,-,1,1,renal
NOVA BELEM,-,5,5,renal
NOVA ERA,-,8,8,renal
NOVA LIMA,12,203,215,renal
NOVA MODICA,-,3,3,renal
NOVA PORTEIRINHA,1,2,3,renal
NOVA RESENDE,4,33,37,renal
NOVA SERRANA,15,167,182,renal
NOVO CRUZEIRO,2,10,12,renal
NOVORIZONTE,-,8,8,renal
OLARIA,-,6,6,renal
OLIMPIO NORONHA,-,4,4,renal
OLIVEIRA,1,85,86,renal
OLIVEIRA FORTES,-,6,6,renal
ONCA DE PITANGUI,2,10,12,renal
ORATORIOS,-,3,3,renal
ORIZANIA,-,3,3,renal
OURO BRANCO,-,59,59,renal
OURO FINO,9,80,89,renal
OURO PRETO,3,274,277,renal
OURO VERDE DE MINAS,-,1,1,renal
PADRE PARAISO,-,4,4,renal
PAINEIRAS,-,8,8,renal
PAINS,3,14,17,renal
PAI PEDRO,1,3,4,renal
PAIVA,-,6,6,renal
PALMA,-,9,9,renal
PALMOPOLIS,-,8,8,renal
PAPAGAIOS,2,12,14,renal
PARACATU,4,60,64,renal
PARA DE MINAS,38,453,491,renal
PARAISOPOLIS,6,87,93,renal
PARAOPEBA,1,9,10,renal
PASSA-VINTE,-,4,4,renal
PASSOS,13,218,231,renal
PATOS DE MINAS,21,283,304,renal
PATROCINIO,11,82,93,renal
PAULA CANDIDO,1,43,44,renal
PECANHA,1,2,3,renal
PEDRA AZUL,-,2,2,renal
PEDRA DO ANTA,-,4,4,renal
PEDRA DOURADA,-,1,1,renal
PEDRALVA,2,60,62,renal
PEDRAS DE MARIA DA CRUZ,-,1,1,renal
PEDRINOPOLIS,1,2,3,renal
PEDRO LEOPOLDO,2,25,27,renal
PEQUI,1,10,11,renal
PERDIGAO,1,16,17,renal
PERDIZES,5,50,55,renal
PERDOES,3,28,31,renal
PERIQUITO,1,29,30,renal
PESCADOR,-,6,6,renal
PIAU,-,8,8,renal
PIEDADE DE CARATINGA,1,33,34,renal
PIEDADE DE PONTE NOVA,-,11,11,renal
PIEDADE DO RIO GRANDE,-,3,3,renal
PIEDADE DOS GERAIS,1,8,9,renal
PIMENTA,1,21,22,renal
PINGO-D'AGUA,-,4,4,renal
PIRACEMA,1,6,7,renal
PIRANGA,1,22,23,renal
PIRANGUCU,-,43,43,renal
PIRANGUINHO,3,83,86,renal
PIRAPETINGA,1,20,21,renal
PIRAPORA,1,14,15,renal
PIRAUBA,1,16,17,renal
PITANGUI,13,108,121,renal
PIUMHI,17,123,140,renal
PLANURA,2,26,28,renal
POCO FUNDO,4,81,85,renal
POCOS DE CALDAS,21,762,783,renal
POMPEU,1,41,42,renal
PONTE NOVA,4,145,149,renal
PORTEIRINHA,2,33,35,renal
PORTO FIRME,-,4,4,renal
POTE,-,23,23,renal
POUSO ALEGRE,22,467,489,renal
POUSO ALTO,-,18,18,renal
PRADOS,2,6,8,renal
PRATA,1,27,28,renal
PRATAPOLIS,5,17,22,renal
PRATINHA,2,6,8,renal
PRESIDENTE BERNARDES,1,3,4,renal
PRESIDENTE JUSCELINO,-,7,7,renal
PRESIDENTE KUBITSCHEK,-,4,4,renal
PRUDENTE DE MORAIS,2,9,11,renal
QUARTEL GERAL,-,9,9,renal
QUELUZITO,-,2,2,renal
RAPOSOS,3,24,27,renal
RAUL SOARES,-,16,16,renal
RECREIO,3,10,13,renal
RESENDE COSTA,1,30,31,renal
RESPLENDOR,2,29,31,renal
RESSAQUINHA,-,7,7,renal
RIACHINHO,1,10,11,renal
RIACHO DOS MACHADOS,-,2,2,renal
RIBEIRAO DAS NEVES,21,299,320,renal
RIO ACIMA,1,4,5,renal
RIO CASCA,-,18,18,renal
RIO DOCE,-,14,14,renal
RIO DO PRADO,-,1,1,renal
RIO ESPERA,-,2,2,renal
RIO NOVO,-,7,7,renal
RIO PARDO DE MINAS,1,58,59,renal
RIO PIRACICABA,-,12,12,renal
RIO POMBA,4,86,90,renal
RIO PRETO,-,1,1,renal
RIO VERMELHO,-,2,2,renal
RITAPOLIS,-,11,11,renal
RODEIRO,-,2,2,renal
ROMARIA,1,10,11,renal
SABARA,13,173,186,renal
SABINOPOLIS,-,20,20,renal
SACRAMENTO,3,66,69,renal
SALINAS,-,27,27,renal
SALTO DA DIVISA,-,7,7,renal
SANTA BARBARA,1,70,71,renal
SANTA BARBARA DO LESTE,1,12,13,renal
SANTA BARBARA DO MONTE VERDE,-,2,2,renal
SANTA BARBARA DO TUGURIO,-,6,6,renal
SANTA CRUZ DE MINAS,1,7,8,renal
SANTA CRUZ DO ESCALVADO,-,4,4,renal
SANTA JULIANA,1,25,26,renal
SANTA LUZIA,4,61,65,renal
SANTA MARGARIDA,1,51,52,renal
SANTA MARIA DE ITABIRA,-,11,11,renal
SANTA MARIA DO SALTO,-,2,2,renal
SANTA MARIA DO SUACUI,-,7,7,renal
SANTANA DE PIRAPAMA,-,4,4,renal
SANTANA DO GARAMBEU,-,3,3,renal
SANTANA DO JACARE,-,17,17,renal
SANTANA DO PARAISO,2,77,79,renal
SANTANA DOS MONTES,1,10,11,renal
SANTA RITA DE CALDAS,2,43,45,renal
SANTA RITA DE JACUTINGA,-,10,10,renal
SANTA RITA DE MINAS,3,3,6,renal
SANTA RITA DE IBITIPOCA,-,7,7,renal
SANTA RITA DO SAPUCAI,14,182,196,renal
SANTA ROSA DA SERRA,1,18,19,renal
SANTA VITORIA,9,110,119,renal
SANTO ANTONIO DO AMPARO,1,12,13,renal
SANTO ANTONIO DO AVENTUREIRO,-,8,8,renal
SANTO ANTONIO DO GRAMA,1,17,18,renal
SANTO ANTONIO DO ITAMBE,4,17,21,renal
SANTO ANTONIO DO JACINTO,1,2,3,renal
SANTO ANTONIO DO MONTE,2,39,41,renal
SANTO ANTONIO DO RETIRO,-,2,2,renal
SANTO ANTONIO DO RIO ABAIXO,-,2,2,renal
SANTO HIPOLITO,-,1,1,renal
SANTOS DUMONT,1,10,11,renal
SAO BENTO ABADE,-,11,11,renal
SAO BRAS DO SUACUI,-,26,26,renal
SAO DOMINGOS DAS DORES,3,9,12,renal
SAO DOMINGOS DO PRATA,3,36,39,renal
SAO FELIX DE MINAS,1,7,8,renal
SAO FRANCISCO,-,13,13,renal
SAO FRANCISCO DE SALES,1,19,20,renal
SAO GERALDO,-,14,14,renal
SAO GERALDO DO BAIXIO,-,4,4,renal
SAO GONCALO DO ABAETE,1,7,8,renal
SAO GONCALO DO RIO ABAIXO,-,15,15,renal
SAO GONCALO DO SAPUCAI,8,87,95,renal
SAO GOTARDO,11,66,77,renal
SAO JOAO BATISTA DO GLORIA,1,49,50,renal
SAO JOAO DA MATA,-,8,8,renal
SAO JOAO DA PONTE,-,35,35,renal
SAO JOAO DEL REI,31,139,170,renal
SAO JOAO DO MANHUACU,1,14,15,renal
SAO JOAO DO ORIENTE,3,32,35,renal
SAO JOAO DO PARAISO,-,10,10,renal
SAO JOAO NEPOMUCENO,3,72,75,renal
SAO JOAQUIM DE BICAS,4,40,44,renal
SAO JOSE DA BARRA,5,18,23,renal
SAO JOSE DA LAPA,1,12,13,renal
SAO JOSE DA SAFIRA,-,19,19,renal
SAO JOSE DA VARGINHA,-,15,15,renal
SAO JOSE DO ALEGRE,-,6,6,renal
SAO JOSE DO DIVINO,-,17,17,renal
SAO JOSE DO GOIABAL,1,8,9,renal
SAO JOSE DO JACURI,1,-,1,renal
SAO LOURENCO,19,213,232,renal
SAO MIGUEL DO ANTA,-,19,19,renal
SAO PEDRO DA UNIAO,-,16,16,renal
SAO PEDRO DOS FERROS,1,28,29,renal
SAO PEDRO DO SUACUI,-,5,5,renal
SAO SEBASTIAO DA BELA VISTA,1,16,17,renal
SAO SEBASTIAO DA VARGEM ALEGRE,1,6,7,renal
SAO SEBASTIAO DO ANTA,-,1,1,renal
SAO SEBASTIAO DO OESTE,1,4,5,renal
SAO SEBASTIAO DO PARAISO,28,372,400,renal
SAO SEBASTIAO DO RIO VERDE,1,8,9,renal
SAO TIAGO,1,79,80,renal
SAO TOMAS DE AQUINO,-,15,15,renal
SAO THOME DAS LETRAS,1,1,2,renal
SAO VICENTE DE MINAS,-,10,10,renal
SAPUCAI-MIRIM,-,50,50,renal
SARDOA,-,17,17,renal
SARZEDO,9,60,69,renal
SENADOR AMARAL,-,39,39,renal
SENADOR FIRMINO,-,1,1,renal
SENADOR JOSE BENTO,-,13,13,renal
SENADOR MODESTINO GONCALVES,-,10,10,renal
SENHORA DE OLIVEIRA,-,9,9,renal
SENHORA DO PORTO,1,7,8,renal
SENHORA DOS REMEDIOS,-,28,28,renal
SERITINGA,-,7,7,renal
SERRA AZUL DE MINAS,-,5,5,renal
SERRA DA SAUDADE,1,3,4,renal
SERRA DOS AIMORES,-,5,5,renal
SERRA DO SALITRE,-,10,10,renal
SERRANIA,1,44,45,renal
SERRANOS,-,1,1,renal
SERRO,1,23,24,renal
SILVEIRANIA,-,2,2,renal
SILVIANOPOLIS,-,19,19,renal
SOBRALIA,-,1,1,renal
SOLEDADE DE MINAS,-,30,30,renal
TABULEIRO,-,5,5,renal
TAPIRAI,-,11,11,renal
TAQUARACU DE MINAS,-,1,1,renal
TEIXEIRAS,1,19,20,renal
TEOFILO OTONI,2,111,113,renal
TIMOTEO,-,1,1,renal
TIRADENTES,-,23,23,renal
TIROS,-,5,5,renal
TOCANTINS,-,20,20,renal
TOCOS DO MOJI,3,13,16,renal
TOLEDO,-,23,23,renal
TOMBOS,-,15,15,renal
TRES CORACOES,1,20,21,renal
TRES PONTAS,9,261,270,renal
TURMALINA,-,24,24,renal
TURVOLANDIA,-,28,28,renal
UBA,9,212,221,renal
UBAI,-,4,4,renal
UBAPORANGA,2,9,11,renal
UBERABA,103,1795,1898,renal
UBERLANDIA,77,1070,1147,renal
UMBURATIBA,-,6,6,renal
UNAI,16,199,215,renal
UNIAO DE MINAS,-,9,9,renal
URUANA DE MINAS,2,3,5,renal
URUCANIA,-,33,33,renal
VARGEM ALEGRE,1,17,18,renal
VARGEM GRANDE DO RIO PARDO,-,1,1,renal
VARGINHA,14,181,195,renal
VARJAO DE MINAS,3,7,10,renal
VARZEA DA PALMA,1,63,64,renal
VARZELANDIA,1,4,5,renal
VAZANTE,2,11,13,renal
VERDELANDIA,2,3,5,renal
VERISSIMO,1,2,3,renal
VERMELHO NOVO,2,30,32,renal
VESPASIANO,9,122,131,renal
VICOSA,11,248,259,renal
VIEIRAS,-,3,3,renal
VIRGEM DA LAPA,-,5,5,renal
VIRGINIA,-,1,1,renal
VOLTA GRANDE,-,2,2,renal
WENCESLAU BRAZ,-,7,7,renal
Total,2110,34525,36635,renal
ABADIA DOS DOURADOS,-,2,2,sedentarismo
ABAETE,47,49,96,sedentarismo
ACAIACA,-,5,5,sedentarismo
ACUCENA,4,20,24,sedentarismo
AGUA BOA,1,-,1,sedentarismo
AGUA COMPRIDA,4,12,16,sedentarismo
AGUANIL,1,-,1,sedentarismo
AGUAS FORMOSAS,2,9,11,sedentarismo
AGUAS VERMELHAS,-,1,1,sedentarismo
AIMORES,10,23,33,sedentarismo
AIURUOCA,6,10,16,sedentarismo
ALAGOA,4,4,8,sedentarismo
ALBERTINA,1,7,8,sedentarismo
ALEM PARAIBA,77,141,218,sedentarismo
ALFENAS,61,76,137,sedentarismo
ALFREDO VASCONCELOS,3,8,11,sedentarismo
ALPERCATA,3,6,9,sedentarismo
ALPINOPOLIS,23,35,58,sedentarismo
ALTEROSA,32,29,61,sedentarismo
ALTO CAPARAO,1,-,1,sedentarismo
ALTO RIO DOCE,6,33,39,sedentarismo
ALVORADA DE MINAS,1,1,2,sedentarismo
AMPARO DO SERRA,1,3,4,sedentarismo
ANDRADAS,238,226,464,sedentarismo
CACHOEIRA DE PAJEU,1,3,4,sedentarismo
ANDRELANDIA,8,35,43,sedentarismo
ANGELANDIA,2,10,12,sedentarismo
ANTONIO CARLOS,20,32,52,sedentarismo
ANTONIO DIAS,2,-,2,sedentarismo
ANTONIO PRADO DE MINAS,2,3,5,sedentarismo
ARACAI,2,5,7,sedentarismo
ARACITABA,-,1,1,sedentarismo
ARACUAI,24,19,43,sedentarismo
ARAGUARI,164,173,337,sedentarismo
ARANTINA,-,1,1,sedentarismo
ARAPONGA,3,9,12,sedentarismo
ARAPORA,31,14,45,sedentarismo
ARAPUA,4,1,5,sedentarismo
ARAUJOS,7,4,11,sedentarismo
ARAXA,111,142,253,sedentarismo
ARCEBURGO,1,7,8,sedentarismo
ARCOS,56,62,118,sedentarismo
AREADO,4,20,24,sedentarismo
ARGIRITA,4,14,18,sedentarismo
ARICANDUVA,1,4,5,sedentarismo
ARINOS,13,5,18,sedentarismo
ASTOLFO DUTRA,16,26,42,sedentarismo
AUGUSTO DE LIMA,3,14,17,sedentarismo
BAEPENDI,53,41,94,sedentarismo
BALDIM,1,4,5,sedentarismo
BAMBUI,8,5,13,sedentarismo
BANDEIRA,-,3,3,sedentarismo
BARAO DE COCAIS,-,28,28,sedentarismo
BARAO DE MONTE ALTO,7,18,25,sedentarismo
BARBACENA,53,76,129,sedentarismo
BARRA LONGA,-,1,1,sedentarismo
BARROSO,29,46,75,sedentarismo
BELA VISTA DE MINAS,3,3,6,sedentarismo
BELO HORIZONTE,330,342,672,sedentarismo
BELO ORIENTE,17,52,69,sedentarismo
BELO VALE,1,3,4,sedentarismo
BERILO,3,-,3,sedentarismo
BERTOPOLIS,-,2,2,sedentarismo
BETIM,415,367,782,sedentarismo
BIAS FORTES,9,12,21,sedentarismo
BICAS,12,49,61,sedentarismo
BOA ESPERANCA,156,239,395,sedentarismo
BOCAIUVA,28,44,72,sedentarismo
BOM DESPACHO,85,93,178,sedentarismo
BOM JESUS DA PENHA,3,16,19,sedentarismo
BOM JESUS DO AMPARO,-,3,3,sedentarismo
BOM JESUS DO GALHO,3,2,5,sedentarismo
BOM REPOUSO,-,13,13,sedentarismo
BOM SUCESSO,55,33,88,sedentarismo
BONFIM,6,21,27,sedentarismo
BONFINOPOLIS DE MINAS,1,6,7,sedentarismo
BONITO DE MINAS,3,-,3,sedentarismo
BORDA DA MATA,47,79,126,sedentarismo
BOTELHOS,1,5,6,sedentarismo
BRASILANDIA DE MINAS,8,10,18,sedentarismo
BRASILIA DE MINAS,7,11,18,sedentarismo
BRAS PIRES,-,1,1,sedentarismo
BRAUNAS,2,1,3,sedentarismo
BRAZOPOLIS,35,64,99,sedentarismo
BRUMADINHO,43,69,112,sedentarismo
BUENO BRANDAO,10,33,43,sedentarismo
BUENOPOLIS,10,9,19,sedentarismo
BUGRE,7,11,18,sedentarismo
BURITIS,20,21,41,sedentarismo
BURITIZEIRO,4,13,17,sedentarismo
CABO VERDE,15,9,24,sedentarismo
CACHOEIRA DA PRATA,12,20,32,sedentarismo
CACHOEIRA DE MINAS,13,22,35,sedentarismo
CACHOEIRA DOURADA,5,5,10,sedentarismo
CAETANOPOLIS,6,5,11,sedentarismo
CAETE,38,30,68,sedentarismo
CAIANA,-,4,4,sedentarismo
CAJURI,1,11,12,sedentarismo
CALDAS,35,30,65,sedentarismo
CAMACHO,4,5,9,sedentarismo
CAMANDUCAIA,38,62,100,sedentarismo
CAMBUI,25,29,54,sedentarismo
CAMBUQUIRA,1,6,7,sedentarismo
CAMPANHA,26,50,76,sedentarismo
CAMPINA VERDE,9,12,21,sedentarismo
CAMPO BELO,100,136,236,sedentarismo
CAMPO FLORIDO,18,32,50,sedentarismo
CAMPOS ALTOS,27,10,37,sedentarismo
CAMPOS GERAIS,2,9,11,sedentarismo
CANAA,4,8,12,sedentarismo
CANAPOLIS,19,22,41,sedentarismo
CANA VERDE,1,4,5,sedentarismo
CANDEIAS,23,53,76,sedentarismo
CANTAGALO,1,2,3,sedentarismo
CAPARAO,4,2,6,sedentarismo
CAPELA NOVA,5,6,11,sedentarismo
CAPELINHA,4,8,12,sedentarismo
CAPETINGA,5,10,15,sedentarismo
CAPIM BRANCO,1,12,13,sedentarismo
CAPINOPOLIS,22,37,59,sedentarismo
CAPITAO ANDRADE,1,2,3,sedentarismo
CAPITAO ENEAS,-,4,4,sedentarismo
CAPITOLIO,5,8,13,sedentarismo
CAPUTIRA,1,10,11,sedentarismo
CARAI,3,-,3,sedentarismo
CARANAIBA,2,2,4,sedentarismo
CARANDAI,11,6,17,sedentarismo
CARANGOLA,10,41,51,sedentarismo
CARATINGA,135,197,332,sedentarismo
CARBONITA,7,7,14,sedentarismo
CAREACU,5,7,12,sedentarismo
CARLOS CHAGAS,20,28,48,sedentarismo
CARMESIA,11,12,23,sedentarismo
CARMO DA CACHOEIRA,6,1,7,sedentarismo
CARMO DA MATA,1,1,2,sedentarismo
CARMO DE MINAS,11,12,23,sedentarismo
CARMO DO CAJURU,18,39,57,sedentarismo
CARMO DO PARANAIBA,58,54,112,sedentarismo
CARMOPOLIS DE MINAS,22,49,71,sedentarismo
CARNEIRINHO,24,21,45,sedentarismo
CARRANCAS,4,1,5,sedentarismo
CARVALHOS,3,5,8,sedentarismo
CASCALHO RICO,-,2,2,sedentarismo
CASSIA,24,59,83,sedentarismo
CONCEICAO DA BARRA DE MINAS,7,8,15,sedentarismo
CATAGUASES,144,237,381,sedentarismo
CATAS ALTAS,3,7,10,sedentarismo
CATAS ALTAS DA NORUEGA,4,1,5,sedentarismo
CATUJI,-,4,4,sedentarismo
CAXAMBU,7,7,14,sedentarismo
CEDRO DO ABAETE,1,3,4,sedentarismo
CENTRAL DE MINAS,4,7,11,sedentarismo
CENTRALINA,19,25,44,sedentarismo
CHACARA,5,2,7,sedentarismo
CHALE,1,11,12,sedentarismo
CHAPADA DO NORTE,1,-,1,sedentarismo
CIPOTANEA,1,10,11,sedentarismo
CLARAVAL,7,6,13,sedentarismo
CLAUDIO,21,49,70,sedentarismo
COIMBRA,5,17,22,sedentarismo
COLUNA,3,15,18,sedentarismo
COMENDADOR GOMES,5,6,11,sedentarismo
COMERCINHO,1,-,1,sedentarismo
CONCEICAO DA APARECIDA,10,23,33,sedentarismo
CONCEICAO DAS PEDRAS,-,2,2,sedentarismo
CONCEICAO DAS ALAGOAS,28,41,69,sedentarismo
CONCEICAO DO PARA,8,7,15,sedentarismo
CONCEICAO DOS OUROS,12,23,35,sedentarismo
CONEGO MARINHO,4,15,19,sedentarismo
CONFINS,5,4,9,sedentarismo
CONGONHAL,9,12,21,sedentarismo
CONQUISTA,15,22,37,sedentarismo
CONSELHEIRO LAFAIETE,127,217,344,sedentarismo
CONSELHEIRO PENA,19,42,61,sedentarismo
CONSOLACAO,23,7,30,sedentarismo
CONTAGEM,289,263,552,sedentarismo
COQUEIRAL,10,12,22,sedentarismo
CORDISBURGO,5,11,16,sedentarismo
CORDISLANDIA,5,5,10,sedentarismo
COROACI,1,5,6,sedentarismo
COROMANDEL,38,49,87,sedentarismo
CORONEL FABRICIANO,163,162,325,sedentarismo
CORONEL MURTA,-,6,6,sedentarismo
CORONEL PACHECO,2,5,7,sedentarismo
CORREGO DO BOM JESUS,4,2,6,sedentarismo
CORREGO FUNDO,15,54,69,sedentarismo
COUTO DE MAGALHAES DE MINAS,-,2,2,sedentarismo
CRISTAIS,4,15,19,sedentarismo
CRISTIANO OTONI,-,7,7,sedentarismo
CRISTINA,55,106,161,sedentarismo
CRUCILANDIA,2,1,3,sedentarismo
CRUZEIRO DA FORTALEZA,10,21,31,sedentarismo
CRUZILIA,9,25,34,sedentarismo
CURVELO,159,193,352,sedentarismo
DATAS,2,5,7,sedentarismo
DELFIM MOREIRA,12,35,47,sedentarismo
DELFINOPOLIS,1,3,4,sedentarismo
DELTA,9,22,31,sedentarismo
DESCOBERTO,2,1,3,sedentarismo
DESTERRO DE ENTRE RIOS,5,14,19,sedentarismo
DESTERRO DO MELO,1,4,5,sedentarismo
DIOGO DE VASCONCELOS,-,9,9,sedentarismo
DIONISIO,18,29,47,sedentarismo
DIVINO,4,11,15,sedentarismo
DIVINOLANDIA DE MINAS,3,2,5,sedentarismo
DIVINOPOLIS,187,196,383,sedentarismo
DIVISA ALEGRE,-,1,1,sedentarismo
DIVISA NOVA,2,11,13,sedentarismo
DIVISOPOLIS,1,4,5,sedentarismo
DOM CAVATI,8,6,14,sedentarismo
DOM JOAQUIM,1,1,2,sedentarismo
DOM SILVERIO,5,8,13,sedentarismo
DONA EUSEBIA,4,6,10,sedentarismo
DORES DE CAMPOS,22,40,62,sedentarismo
DORES DE GUANHAES,-,10,10,sedentarismo
DORES DO INDAIA,14,21,35,sedentarismo
DORES DO TURVO,2,1,3,sedentarismo
DOURADOQUARA,2,1,3,sedentarismo
DURANDE,4,2,6,sedentarismo
ELOI MENDES,1,1,2,sedentarismo
ENTRE FOLHAS,1,5,6,sedentarismo
ENTRE RIOS DE MINAS,11,9,20,sedentarismo
ERVALIA,4,7,11,sedentarismo
ESMERALDAS,14,42,56,sedentarismo
ESPERA FELIZ,16,56,72,sedentarismo
ESPINOSA,5,19,24,sedentarismo
ESPIRITO SANTO DO DOURADO,4,13,17,sedentarismo
ESTIVA,7,33,40,sedentarismo
ESTRELA DALVA,3,11,14,sedentarismo
ESTRELA DO INDAIA,13,8,21,sedentarismo
ESTRELA DO SUL,4,5,9,sedentarismo
EUGENOPOLIS,7,14,21,sedentarismo
EWBANK DA CAMARA,-,8,8,sedentarismo
EXTREMA,113,124,237,sedentarismo
FAMA,1,-,1,sedentarismo
FARIA LEMOS,1,-,1,sedentarismo
FELICIO DOS SANTOS,1,1,2,sedentarismo
SAO GONCALO DO RIO PRETO,1,3,4,sedentarismo
FELISBURGO,1,2,3,sedentarismo
FELIXLANDIA,-,2,2,sedentarismo
FERNANDES TOURINHO,3,5,8,sedentarismo
FERVEDOURO,2,13,15,sedentarismo
FORMIGA,79,196,275,sedentarismo
FORTALEZA DE MINAS,19,19,38,sedentarismo
FORTUNA DE MINAS,9,3,12,sedentarismo
FRANCISCO BADARO,9,5,14,sedentarismo
FRANCISCO DUMONT,-,2,2,sedentarismo
FRANCISCO SA,5,5,10,sedentarismo
FREI INOCENCIO,5,13,18,sedentarismo
FREI LAGONEGRO,-,1,1,sedentarismo
FRONTEIRA,2,5,7,sedentarismo
FRONTEIRA DOS VALES,1,7,8,sedentarismo
FRUTA DE LEITE,-,4,4,sedentarismo
FRUTAL,48,64,112,sedentarismo
FUNILANDIA,-,3,3,sedentarismo
GALILEIA,7,6,13,sedentarismo
GAMELEIRAS,1,2,3,sedentarismo
GOIANA,-,1,1,sedentarismo
GONCALVES,8,25,33,sedentarismo
GOUVEIA,6,3,9,sedentarismo
GOVERNADOR VALADARES,362,620,982,sedentarismo
GRAO MOGOL,1,4,5,sedentarismo
GRUPIARA,6,10,16,sedentarismo
GUANHAES,58,196,254,sedentarismo
GUAPE,27,67,94,sedentarismo
GUARACIAMA,2,9,11,sedentarismo
GUARANESIA,23,52,75,sedentarismo
GUARANI,6,18,24,sedentarismo
GUARARA,2,1,3,sedentarismo
GUARDA-MOR,7,7,14,sedentarismo
GUAXUPE,98,124,222,sedentarismo
GUIDOVAL,11,25,36,sedentarismo
GUIMARANIA,3,4,7,sedentarismo
GURINHATA,5,-,5,sedentarismo
HELIODORA,10,21,31,sedentarismo
IAPU,3,10,13,sedentarismo
IBERTIOGA,18,3,21,sedentarismo
IBIA,12,24,36,sedentarismo
IBIRACI,18,13,31,sedentarismo
IBIRITE,118,197,315,sedentarismo
IBITIURA DE MINAS,16,22,38,sedentarismo
IBITURUNA,2,-,2,sedentarismo
IGARAPE,46,50,96,sedentarismo
IGARATINGA,12,18,30,sedentarismo
IGUATAMA,4,9,13,sedentarismo
ILICINEA,20,20,40,sedentarismo
IMBE DE MINAS,-,5,5,sedentarismo
INCONFIDENTES,14,11,25,sedentarismo
INDAIABIRA,1,14,15,sedentarismo
INDIANOPOLIS,1,5,6,sedentarismo
INHAPIM,32,66,98,sedentarismo
INIMUTABA,6,7,13,sedentarismo
IPABA,20,11,31,sedentarismo
IPANEMA,16,25,41,sedentarismo
IPATINGA,236,497,733,sedentarismo
IPUIUNA,38,52,90,sedentarismo
ITABIRA,118,106,224,sedentarismo
ITABIRINHA,3,3,6,sedentarismo
ITABIRITO,2,4,6,sedentarismo
ITACARAMBI,4,15,19,sedentarismo
ITAGUARA,4,19,23,sedentarismo
ITAIPE,2,2,4,sedentarismo
